Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1475976414,2016-10-09T01:26:54Z,AAL1067,"37.371529,-121.932129",0,2,137
1475976393,2016-10-09T01:26:33Z,AAL1067,"37.371723,-121.93235",0,14,140
1475976381,2016-10-09T01:26:21Z,AAL1067,"37.371929,-121.932526",0,12,115
1475976366,2016-10-09T01:26:06Z,AAL1067,"37.371986,-121.93277",0,13,87
1475976345,2016-10-09T01:25:45Z,AAL1067,"37.371861,-121.933296",0,17,42
1475976330,2016-10-09T01:25:30Z,AAL1067,"37.371555,-121.933571",0,16,5
1475976321,2016-10-09T01:25:21Z,AAL1067,"37.3713,-121.933563",0,17,337
1475976303,2016-10-09T01:25:03Z,AAL1067,"37.370831,-121.933411",0,18,33
1475976282,2016-10-09T01:24:42Z,AAL1067,"37.370461,-121.933884",0,16,43
1475976266,2016-10-09T01:24:26Z,AAL1067,"37.370052,-121.934303",0,24,16
1475976257,2016-10-09T01:24:17Z,AAL1067,"37.369595,-121.934235",0,34,323
1475976242,2016-10-09T01:24:02Z,AAL1067,"37.368645,-121.93322",0,38,320
1475976230,2016-10-09T01:23:50Z,AAL1067,"37.366249,-121.930595",0,96,317
1475976224,2016-10-09T01:23:44Z,AAL1067,"37.364178,-121.928314",0,125,320
1475976218,2016-10-09T01:23:38Z,AAL1067,"37.360264,-121.924057",75,144,318
1475976212,2016-10-09T01:23:32Z,AAL1067,"37.357498,-121.921066",125,147,318
1475976206,2016-10-09T01:23:26Z,AAL1067,"37.355518,-121.918869",175,146,319
1475976200,2016-10-09T01:23:20Z,AAL1067,"37.352325,-121.915398",225,145,318
1475976194,2016-10-09T01:23:14Z,AAL1067,"37.349419,-121.912178",325,146,318
1475976188,2016-10-09T01:23:08Z,AAL1067,"37.34642,-121.908913",400,145,319
1475976182,2016-10-09T01:23:02Z,AAL1067,"37.342163,-121.904297",475,146,318
1475976176,2016-10-09T01:22:56Z,AAL1067,"37.340202,-121.902145",525,145,319
1475976170,2016-10-09T01:22:50Z,AAL1067,"37.337036,-121.898628",600,143,319
1475976161,2016-10-09T01:22:41Z,AAL1067,"37.33255,-121.893776",725,144,318
1475976155,2016-10-09T01:22:35Z,AAL1067,"37.328938,-121.889847",825,147,318
1475976149,2016-10-09T01:22:29Z,AAL1067,"37.32637,-121.887054",900,147,318
1475976141,2016-10-09T01:22:21Z,AAL1067,"37.321793,-121.882034",1050,148,318
1475976134,2016-10-09T01:22:14Z,AAL1067,"37.318588,-121.878464",1150,149,319
1475976128,2016-10-09T01:22:08Z,AAL1067,"37.31543,-121.875076",1250,149,319
1475976122,2016-10-09T01:22:02Z,AAL1067,"37.312408,-121.871803",1325,148,319
1475976116,2016-10-09T01:21:56Z,AAL1067,"37.30925,-121.868416",1425,149,319
1475976110,2016-10-09T01:21:50Z,AAL1067,"37.305954,-121.864906",1500,149,320
1475976104,2016-10-09T01:21:44Z,AAL1067,"37.302933,-121.861755",1600,149,319
1475976098,2016-10-09T01:21:38Z,AAL1067,"37.299793,-121.858444",1675,150,318
1475976092,2016-10-09T01:21:32Z,AAL1067,"37.29649,-121.854736",1775,151,317
1475976086,2016-10-09T01:21:26Z,AAL1067,"37.293365,-121.85112",1850,153,317
1475976080,2016-10-09T01:21:20Z,AAL1067,"37.289429,-121.846794",1925,158,319
1475976074,2016-10-09T01:21:14Z,AAL1067,"37.286774,-121.844048",2000,161,320
1475976068,2016-10-09T01:21:08Z,AAL1067,"37.283295,-121.840424",2100,165,320
1475976062,2016-10-09T01:21:02Z,AAL1067,"37.279823,-121.836769",2175,172,319
1475976056,2016-10-09T01:20:56Z,AAL1067,"37.274872,-121.831543",2300,178,321
1475976050,2016-10-09T01:20:50Z,AAL1067,"37.272446,-121.829086",2350,180,321
1475976044,2016-10-09T01:20:44Z,AAL1067,"37.268188,-121.824883",2425,187,322
1475976038,2016-10-09T01:20:38Z,AAL1067,"37.264343,-121.821198",2500,193,322
1475976032,2016-10-09T01:20:32Z,AAL1067,"37.259991,-121.817001",2575,196,322
1475976026,2016-10-09T01:20:26Z,AAL1067,"37.2556,-121.812668",2675,196,320
1475976020,2016-10-09T01:20:20Z,AAL1067,"37.251472,-121.808403",2750,197,319
1475976014,2016-10-09T01:20:14Z,AAL1067,"37.247189,-121.803749",2825,199,318
1475976008,2016-10-09T01:20:08Z,AAL1067,"37.242397,-121.798492",2900,204,318
1475976002,2016-10-09T01:20:02Z,AAL1067,"37.23867,-121.794312",2975,206,318
1475975996,2016-10-09T01:19:56Z,AAL1067,"37.234268,-121.789528",3100,209,319
1475975989,2016-10-09T01:19:49Z,AAL1067,"37.230011,-121.785057",3200,213,319
1475975983,2016-10-09T01:19:43Z,AAL1067,"37.225388,-121.780174",3325,216,319
1475975977,2016-10-09T01:19:37Z,AAL1067,"37.22049,-121.774918",3450,221,319
1475975971,2016-10-09T01:19:31Z,AAL1067,"37.215908,-121.76989",3575,225,318
1475975965,2016-10-09T01:19:25Z,AAL1067,"37.211288,-121.764862",3675,228,318
1475975959,2016-10-09T01:19:19Z,AAL1067,"37.206409,-121.759445",3800,233,318
1475975953,2016-10-09T01:19:13Z,AAL1067,"37.201492,-121.753876",3900,239,317
1475975947,2016-10-09T01:19:07Z,AAL1067,"37.196404,-121.7481",4050,244,317
1475975941,2016-10-09T01:19:01Z,AAL1067,"37.191792,-121.742783",4150,247,317
1475975932,2016-10-09T01:18:52Z,AAL1067,"37.18396,-121.733772",4375,254,318
1475975926,2016-10-09T01:18:46Z,AAL1067,"37.178467,-121.727577",4500,257,318
1475975920,2016-10-09T01:18:40Z,AAL1067,"37.173264,-121.721886",4650,259,317
1475975914,2016-10-09T01:18:34Z,AAL1067,"37.167847,-121.71566",4800,261,314
1475975902,2016-10-09T01:18:22Z,AAL1067,"37.158508,-121.702301",5100,263,303
1475975890,2016-10-09T01:18:10Z,AAL1067,"37.15036,-121.686966",5500,261,303
1475975878,2016-10-09T01:17:58Z,AAL1067,"37.142075,-121.671371",5850,258,303
1475975866,2016-10-09T01:17:46Z,AAL1067,"37.134384,-121.656929",6050,259,303
1475975854,2016-10-09T01:17:34Z,AAL1067,"37.126389,-121.641762",6050,260,303
1475975841,2016-10-09T01:17:21Z,AAL1067,"37.116119,-121.622276",6050,270,303
1475975829,2016-10-09T01:17:09Z,AAL1067,"37.108513,-121.607903",6050,272,303
1475975817,2016-10-09T01:16:57Z,AAL1067,"37.100693,-121.59317",6050,273,303
1475975805,2016-10-09T01:16:45Z,AAL1067,"37.092545,-121.577873",6050,275,303
1475975790,2016-10-09T01:16:30Z,AAL1067,"37.081139,-121.556557",6025,277,303
1475975778,2016-10-09T01:16:18Z,AAL1067,"37.073273,-121.541809",6025,282,303
1475975766,2016-10-09T01:16:06Z,AAL1067,"37.064529,-121.52533",6125,286,303
1475975754,2016-10-09T01:15:54Z,AAL1067,"37.055466,-121.508148",6275,287,303
1475975742,2016-10-09T01:15:42Z,AAL1067,"37.046642,-121.491356",6550,287,303
1475975730,2016-10-09T01:15:30Z,AAL1067,"37.038208,-121.475365",6850,287,303
1475975718,2016-10-09T01:15:18Z,AAL1067,"37.029045,-121.457977",7175,287,303
1475975706,2016-10-09T01:15:06Z,AAL1067,"37.020493,-121.441757",7500,286,303
1475975694,2016-10-09T01:14:54Z,AAL1067,"37.011635,-121.424721",7875,284,302
1475975682,2016-10-09T01:14:42Z,AAL1067,"37.003304,-121.408417",8050,284,302
1475975670,2016-10-09T01:14:30Z,AAL1067,"36.994583,-121.391327",8050,284,302
1475975658,2016-10-09T01:14:18Z,AAL1067,"36.985977,-121.374847",8050,284,303
1475975646,2016-10-09T01:14:06Z,AAL1067,"36.977001,-121.358444",8050,284,305
1475975631,2016-10-09T01:13:51Z,AAL1067,"36.965469,-121.339264",8050,285,309
1475975625,2016-10-09T01:13:45Z,AAL1067,"36.960243,-121.331154",8050,285,305
1475975604,2016-10-09T01:13:24Z,AAL1067,"36.9505,-121.299347",8100,287,263
1475975598,2016-10-09T01:13:18Z,AAL1067,"36.951443,-121.289597",8200,289,252
1475975592,2016-10-09T01:13:12Z,AAL1067,"36.954052,-121.280525",8375,288,243
1475975579,2016-10-09T01:12:59Z,AAL1067,"36.961594,-121.262848",8625,290,241
1475975567,2016-10-09T01:12:47Z,AAL1067,"36.969498,-121.245117",8925,290,241
1475975555,2016-10-09T01:12:35Z,AAL1067,"36.977463,-121.227234",9225,291,241
1475975543,2016-10-09T01:12:23Z,AAL1067,"36.985474,-121.209053",9500,293,241
1475975531,2016-10-09T01:12:11Z,AAL1067,"36.992981,-121.19194",9725,295,241
1475975519,2016-10-09T01:11:59Z,AAL1067,"37.001301,-121.172989",10025,297,241
1475975507,2016-10-09T01:11:47Z,AAL1067,"37.010422,-121.152145",10325,300,241
